Ecole;Rank;Type;Note
HEC Paris;1;Public;67/76
ESSEC, Cergy-Pontoise;2;Public;65/76
ESCP BS, Paris;3;Public;64/76
EDHEC BS, Lille, Nice, Paris;4;Public;63/76
emlyon BS;5;Public;63/76
SKEMA BS, Lille, Paris, Sophia Antipolis;6;Public;62/76
IESEG, Lille, Paris;7;Public;61/76
NEOMA BS, Reims, Rouen, Paris;8;Public;59/76
Audencia BS, Nantes;9;Public;58/76
TBS Education, Toulouse, Paris;10;Public;56/76
KEDGE BS, Bordeaux, Marseille;11;Public;53/76
Montpellier BS;12;Public;53/76
Excelia BS;13;Public;52/76
Grenoble EM;14;Public;52/76
ICN BS, Nancy, Paris;15;Public;51/76
ESSCA, Angers, Paris, Aix-en-Provence, Lyon, Bordeaux;16;Public;50/76
Rennes School of Business;17;Public;49/76
EM Strasbourg;18;Public;48/76
EMLV, Paris La Défense;19;Public;47/76
EM Normandie, Le Havre, Caen, Paris;20;Public;46/76
Institut Mines-Télécom BS, Évry, Paris;21;Public;46/76
Burgundy School of Business, Dijon, Lyon;22;Public;45/76
ISC Paris;23;Public;45/76
EDC Paris Business School;24;Public;44/76
Paris School of Business;25;Public;43/76
ESC Clermont Business School;26;Public;39/76
ESDES, Lyon;27;Public;31/76
INSEEC, Paris, Bordeaux, Lyon;28;Public;31/76
ESCE, Paris, Lyon;29;Public;30/76
IPAG, Paris, Nice;30;Public;30/76
South Champagne BS;31;Public;29/76
ICD, Paris, Toulouse;32;Public;27/76
ISG, Paris;33;Public;27/76
ISTEC, Paris;34;Public;26/76
Brest BS;35;Public;25/76
EBS Paris;36;Public;23/76
IDRAC BS, Lyon;37;Public;22/76
